Klantnr;Naam;Artikelnr;Verp;Inh;Eh;Omschrijving;Aantal;Prijs;Omzet;Factuursplitsing;Ean;Biologisch;Dierenwelzijn;Goede Vis MSC;Gezonde Keuze;Fair trade;Rainsforrest alliance;UTZ;Milieubewust;Veggie;Streekproducten;Vegan;
208758;SUNSEA BAR            W.I;2003002;pt;900;gr;Ekoland bloemhoning vlb NL-BIO-01;4,000;6,95;27,80;keuken ingred.;8711812434731;Ja;;;;;;;;;;
208758;SUNSEA BAR            W.I;2005248;fl;500;gr;Lencke bloemenhoning knijpfles;42,000;4,07;171,09;keuken ingred.;8719033205239;;;;;;;;;;;
208758;SUNSEA BAR            W.I;2005298;ds;100;st;Melvita honing sticks 8gr;2,000;16,09;32,18;keuken ingred.;8710348196090;;;;;;;;;;;
208758;SUNSEA BAR            W.I;2005355;ds;120;st;Lencke honingsticks 8gr;4,000;14,25;56,98;keuken ingred.;8719033204577;;;;;;;;;;;
208758;SUNSEA BAR            W.I;2017574;pk;250;gr;Droste cacao poeder;3,000;3,10;9,30;keuken ingred.;8715675101601;;;;;;;;;;;
208758;SUNSEA BAR            W.I;2018209;zk;2500;gr;Callebaut choc. callets puur 811;7,000;21,35;149,48;keuken ingred.;5410522513257;;;;;;;;;;;
208758;SUNSEA BAR            W.I;2018225;zk;2500;gr;Callebaut choco. callets wit CW2;3,000;25,62;76,86;overig laag;5410522515435;;;;;;;;;;;
208758;SUNSEA BAR            W.I;2032415;tr;2;pt;Kroon augurk cornichon 2650ml;4,000;15,35;61,40;keuken ingred.;8710669231319;;;;;;;;;;;
208758;SUNSEA BAR            W.I;2034669;bl;400;gr;Fiorino rode kidney bonen;2,000;0,57;1,14;keuken ingred.;8003635555565;;;;;;;;;;;
208758;SUNSEA BAR            W.I;2034809;bl;326;gr;Key maiskorrels zoet vacuum;2,000;0,59;1,18;keuken ingred.;8710563445768;;;;;;;;;;;
208758;SUNSEA BAR            W.I;2034817;bl;3000;gr;Key mais korrels zoet vacuum;30,000;4,93;147,90;keuken ingred.;8710563446000;;;;;;;;;;;
208758;SUNSEA BAR            W.I;2035443;tr;12;bl;Bond.crispy maiskorrels 212ml;1,000;12,34;12,34;keuken ingred.;3083680597562;;;;;;;;;;;
208758;SUNSEA BAR            W.I;2035708;bl;3;lt;Bond.maiskorrels crispy;264,000;7,27;1918,50;keuken ingred.;3083680053761;;;;;;;;;;;
208758;SUNSEA BAR            W.I;2037308;tr;3;bl;Nestor appelmoes 4250gr;2,000;19,28;38,56;keuken ingred.;8715821001205;;;;;;;;;;;
208758;SUNSEA BAR            W.I;2037340;tr;12;bl;Nestor appelmoes 1lt;3,000;19,99;59,96;keuken ingred.;8715821001182;;;;;;;;;;;
208758;SUNSEA BAR            W.I;2037655;bl;2500;gr;Hnz tomatenconcassee spec.;17,000;9,85;167,53;keuken ingred.;8714700017238;;;;;;;;;;;
208758;SUNSEA BAR            W.I;2037671;pk;2;lt;Hnz tomato frito basis voor saus;26,000;3,40;88,36;keuken ingred.;8410066123742;;;;;;;;;;;
208758;SUNSEA BAR            W.I;2038009;pt;890;gr;Avila amarena kersen op siroop;6,000;6,31;37,86;keuken ingred.;5411506170459;;;;;;;;;;;
208758;SUNSEA BAR            W.I;2038059;pt;720;gr;Avila kappertjes surfines;61,000;5,04;307,69;keuken ingred.;5411506854731;;;;;;;;;;;
